    INFO | load_data.py | Line33 | 2022-09-07 10:40:33,150 | 加载了data.yaml中的数据
    INFO | load_data.py | Line62 | 2022-09-07 10:40:33,150 | 加载了data.xlsx中的数据
   DEBUG | factory.py | Line90 | 2022-09-07 10:40:33,150 | Looking for locale `en_US` in provider `faker.providers.address`.
   DEBUG | factory.py | Line104 | 2022-09-07 10:40:33,166 | Provider `faker.providers.address` has been localized to `en_US`.
   DEBUG | factory.py | Line90 | 2022-09-07 10:40:33,166 | Looking for locale `en_US` in provider `faker.providers.automotive`.
   DEBUG | factory.py | Line104 | 2022-09-07 10:40:33,166 | Provider `faker.providers.automotive` has been localized to `en_US`.
   DEBUG | factory.py | Line90 | 2022-09-07 10:40:33,166 | Looking for locale `en_US` in provider `faker.providers.bank`.
   DEBUG | factory.py | Line98 | 2022-09-07 10:40:33,182 | Specified locale `en_US` is not available for provider `faker.providers.bank`. Locale reset to `en_GB` for this provider.
   DEBUG | factory.py | Line90 | 2022-09-07 10:40:33,182 | Looking for locale `en_US` in provider `faker.providers.barcode`.
   DEBUG | factory.py | Line104 | 2022-09-07 10:40:33,182 | Provider `faker.providers.barcode` has been localized to `en_US`.
   DEBUG | factory.py | Line90 | 2022-09-07 10:40:33,182 | Looking for locale `en_US` in provider `faker.providers.color`.
   DEBUG | factory.py | Line104 | 2022-09-07 10:40:33,182 | Provider `faker.providers.color` has been localized to `en_US`.
   DEBUG | factory.py | Line90 | 2022-09-07 10:40:33,182 | Looking for locale `en_US` in provider `faker.providers.company`.
   DEBUG | factory.py | Line104 | 2022-09-07 10:40:33,197 | Provider `faker.providers.company` has been localized to `en_US`.
   DEBUG | factory.py | Line90 | 2022-09-07 10:40:33,197 | Looking for locale `en_US` in provider `faker.providers.credit_card`.
   DEBUG | factory.py | Line104 | 2022-09-07 10:40:33,197 | Provider `faker.providers.credit_card` has been localized to `en_US`.
   DEBUG | factory.py | Line90 | 2022-09-07 10:40:33,197 | Looking for locale `en_US` in provider `faker.providers.currency`.
   DEBUG | factory.py | Line104 | 2022-09-07 10:40:33,197 | Provider `faker.providers.currency` has been localized to `en_US`.
   DEBUG | factory.py | Line90 | 2022-09-07 10:40:33,197 | Looking for locale `en_US` in provider `faker.providers.date_time`.
   DEBUG | factory.py | Line104 | 2022-09-07 10:40:33,213 | Provider `faker.providers.date_time` has been localized to `en_US`.
   DEBUG | factory.py | Line115 | 2022-09-07 10:40:33,213 | Provider `faker.providers.file` does not feature localization. Specified locale `en_US` is not utilized for this provider.
   DEBUG | factory.py | Line90 | 2022-09-07 10:40:33,213 | Looking for locale `en_US` in provider `faker.providers.geo`.
   DEBUG | factory.py | Line104 | 2022-09-07 10:40:33,213 | Provider `faker.providers.geo` has been localized to `en_US`.
   DEBUG | factory.py | Line90 | 2022-09-07 10:40:33,213 | Looking for locale `en_US` in provider `faker.providers.internet`.
   DEBUG | factory.py | Line104 | 2022-09-07 10:40:33,213 | Provider `faker.providers.internet` has been localized to `en_US`.
