   DEBUG | connectionpool.py | Line452 | 2022-09-06 12:38:48,774 | http://wthrcdn.etouch.cn:80 "GET /weather_mini?city=%E5%8C%97%E4%BA%AC%E5%B8%82 HTTP/1.1" 200 408
    INFO | load_data.py | Line33 | 2022-09-06 12:41:38,249 | 加载了data.yaml中的数据
    INFO | load_data.py | Line59 | 2022-09-06 12:41:38,261 | 加载了data.xlsx中的数据
    INFO | simple_requests.py | Line18 | 2022-09-06 12:41:38,766 | 正在处理GET请求
   DEBUG | connectionpool.py | Line227 | 2022-09-06 12:41:38,775 | Starting new HTTP connection (1): wthrcdn.etouch.cn:80
   DEBUG | connectionpool.py | Line452 | 2022-09-06 12:41:38,828 | http://wthrcdn.etouch.cn:80 "GET /weather_mini?city=%E5%8C%97%E4%BA%AC%E5%B8%82 HTTP/1.1" 200 408
    INFO | load_data.py | Line33 | 2022-09-06 12:42:00,027 | 加载了data.yaml中的数据
    INFO | load_data.py | Line59 | 2022-09-06 12:42:00,039 | 加载了data.xlsx中的数据
    INFO | simple_requests.py | Line18 | 2022-09-06 12:42:00,553 | 正在处理GET请求
   DEBUG | connectionpool.py | Line227 | 2022-09-06 12:42:00,557 | Starting new HTTP connection (1): wthrcdn.etouch.cn:80
   DEBUG | connectionpool.py | Line452 | 2022-09-06 12:42:00,600 | http://wthrcdn.etouch.cn:80 "GET /weather_mini?city=%E5%8C%97%E4%BA%AC%E5%B8%82 HTTP/1.1" 200 408
    INFO | load_data.py | Line33 | 2022-09-06 12:47:17,999 | 加载了data.yaml中的数据
    INFO | load_data.py | Line59 | 2022-09-06 12:47:18,010 | 加载了data.xlsx中的数据
    INFO | simple_requests.py | Line18 | 2022-09-06 12:47:18,510 | 正在处理GET请求
   DEBUG | connectionpool.py | Line227 | 2022-09-06 12:47:18,517 | Starting new HTTP connection (1): wthrcdn.etouch.cn:80
   DEBUG | connectionpool.py | Line452 | 2022-09-06 12:47:18,708 | http://wthrcdn.etouch.cn:80 "GET /weather_mini?city=%E5%93%A5%E8%B0%AD%E5%B8%82 HTTP/1.1" 200 None
    INFO | load_data.py | Line33 | 2022-09-06 12:48:24,585 | 加载了data.yaml中的数据
    INFO | load_data.py | Line59 | 2022-09-06 12:48:24,595 | 加载了data.xlsx中的数据
